('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         862397 function calls (838123 primitive calls) in 2.964 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      217    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     4219    0.001    0.000    0.001    0.000 filter.py:540(matches_tag)
     4301    0.001    0.000    0.001    0.000 _parser.py:293(tell)
        1    0.001    0.001    2.964    2.964 financial_enhanced.py:1(<module>)
     3461    0.001    0.000    0.001    0.000 element.py:2007(is_empty_element)
     8171    0.001    0.000    0.001    0.000 element.py:3090(descendants)
     3440    0.001    0.000    0.001    0.000 __init__.py:1068(handle_data)
    10606    0.001    0.000    0.001    0.000 typing.py:2173(cast)
       20    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      268    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     9251    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     3705    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
    460/6    0.000    0.000    0.125    0.021 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       17    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
     6191    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
      341    0.000    0.000    0.002    0.000 css_parser.py:1108(selector_iter)
      164    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
      901    0.000    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
    221/3    0.000    0.000    0.126    0.042 <frozen importlib._bootstrap>:1349(_find_and_load)
     4245    0.000    0.000    0.001    0.000 {built-in method builtins.max}
     3462    0.000    0.000    0.000    0.000 __init__.py:290(can_be_empty_element)
      947    0.000    0.000    0.000    0.000 socket.py:733(readable)
       17    0.000    0.000    0.001    0.000 __init__.py:355(namedtuple)
      191    0.000    0.000    0.004    0.000 _compiler.py:511(_compile_info)
        2    0.000    0.000    0.009    0.005 connection.py:1(<module>)
      261    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
    166/1    0.000    0.000    2.964    2.964 {built-in method builtins.exec}
     1058    0.000    0.000    0.001    0.000 _parser.py:312(_class_escape)
     3462    0.000    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      328    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     3912    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      317    0.000    0.000    0.001    0.000 typing.py:175(_type_check)
     3573    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     3330    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       66    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      191    0.000    0.000    0.058    0.000 _compiler.py:740(compile)
      382    0.000    0.000    0.001    0.000 enum.py:1562(__and__)
    219/3    0.000    0.000    0.126    0.042 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      192    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      885    0.000    0.000    0.001    0.000 typing.py:1206(__setattr__)
     3823    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
    56/16    0.000    0.000    0.007    0.000 css_parser.py:925(parse_selectors)
     2841    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      214    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     1362    0.000    0.000    0.001    0.000 _parser.py:172(__setitem__)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
     1446    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
     3461    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
      804    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     3259    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
      949    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
     1894    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
    192/3    0.000    0.000    0.125    0.042 <frozen importlib._bootstrap>:911(_load_unlocked)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       10    0.000    0.000    0.002    0.000 enum.py:919(_convert_)
      191    0.000    0.000    0.035    0.000 _parser.py:969(parse)
     3126    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      139    0.000    0.000    0.002    0.000 typing.py:1260(__init__)
     1005    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
       79    0.000    0.000    0.002    0.000 css_parser.py:472(parse_attribute_selector)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      963    0.000    0.000    0.000    0.000 typing.py:1152(_is_dunder)
     2644    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       21    0.000    0.000    0.309    0.015 __init__.py:1(<module>)
     1008    0.000    0.000    0.000    0.000 {built-in method fromkeys}
